DataHora,Manchete,Direção,Previsão
2024-12-13 13:06:00,"T-Note de 2 anos a 4,2259%; T-Note de 10 anos a 4,3789%; T-Bond de 30 anos a 4,5969%",Diminuição,Aumento
2024-11-22 12:42:00,"Foram notificados Amil, Unimed Nacional, Bradesco Saúde, SulAmérica, Hapvida, Porto Seguro Saúde, Care Plus, Golden Cross, MedSênior, Qualicorp, Allcare, Omint, Prevent Senior e Assim Saúde",Diminuição,Aumento
2024-12-26 11:50:00,"EMPRESAS: Papéis da B3 avançam, após anúncio de pagamento de JCP",Diminuição,Aumento
2024-12-23 10:41:00,Maiores altas do Ibovespa:,Aumento,Diminuição
2024-12-16 09:15:00,EMPRESAS: Embraer abrirá em Portugal seu primeiro escritório europeu,Aumento,Aumento
2024-12-10 12:53:00,"Destacamos a robustez do mercado de trabalho, que poderá acelerar a categoria de Serviços para perto de 5,3%",Aumento,Aumento
2024-12-20 13:06:00,"Além disso, agência rebaixou as notas seniores com garantia da Azul Secured Finance LLP de ""CC"" para ""C""; mantendo rating de recuperação ""RR4"", e afirmou o rating ""C/RR6"" das notas sem garantia da Azul Investments LLP",Aumento,Diminuição
2024-12-05 11:03:00,"Acordo com credores da Avon traz desfecho mais favorável para movimentações estratégicas da companhia, diz banco",Diminuição,Aumento
2024-12-06 14:55:00,"MERCADOS: Juros e dolar disparam, enquanto Ibovespa recua com mau humor local; Bolsas seguem mistas em NY após payroll",Aumento,Aumento
2024-12-10 09:23:00,"Kalil Filho: Se tudo correr bem, Lula deve retornar à Brasília na semana que vem",Aumento,Aumento
2024-12-27 13:52:00,"Bolsas em NY operam nas mínimas do dia: Dow Jones -1,11%; S&P500 -1,52%; Nasdaq -2,11%",Aumento,Aumento
2024-12-02 10:29:00,AOVIVO/Galípolo: Desancoragem já nos incomoda há bastante tempo,Aumento,Aumento
2024-12-20 12:41:00,Disse que está feliz que as medidas de contenção de gastos forram aprovadas,Diminuição,Aumento
2024-12-03 14:43:00,"Tesouro: Governo Central registra superávit de R$ 40,811 bi em outubro; no ano, déficit é de R$ 64,376 bi",Aumento,Aumento
2024-12-17 10:22:00,"Fusão entre Arezzo e Grupo Soma traz grande desafio para integração de culturas, com portfólios de marcas fortes",Diminuição,Diminuição
2024-12-09 12:13:00,"O da Note de 2 anos a 4,12% e o da Note de 10, a 4,19%",Aumento,Aumento
2024-12-18 10:20:00,Acompanhe a movimentação das principais ações do Ibovespa:,Diminuição,Diminuição
2024-12-16 12:31:00,EMPRESAS: Portugal compra 12 aeronaves A-29N Super Tucano da Embraer,Diminuição,Aumento
2024-11-26 17:47:00,Hamas se recusa há meses a negociar acordo de cessar-fogo; faremos outro esforço para conseguir cessar-fogo em Gaza,Aumento,Diminuição
2024-12-16 17:54:00,Relator do PL complementar do pacote fiscal diz que só deve apresentar parecer amanhã e alerta sobre resistências,Aumento,Aumento
2024-12-02 17:35:00,Fed/Waller: √â provável que maior parte da perda de empregos provocada por passagem de furacão seja revertida,Diminuição,Aumento
2024-11-29 09:35:00,"MERCADOS: Na contramão do exterior, dolar e juros disparam estressados com fiscal",Diminuição,Aumento
2024-12-11 16:37:00,*++Lula terá que passar por novo procedimento cirúrgico para evitar sangramentos* (Folha),Aumento,Diminuação
2024-11-28 10:28:00,Maiores baixas do Ibovespa:,Aumento,Diminuição
2024-12-04 12:21:00,Quando cheguei aqui em 2011 a gente só votava MP,Diminuição,Aumento
2024-12-18 15:55:00,"indice DXY sobe 0,06% (107,015 pontos); Euro a US$ 1,0487 (-0,06%); libra a US$ 1,2715 (+0,02%)",Aumento,Aumento
2024-12-06 14:19:00,Cenário exige ritmo mais lento de cortes nas taxas de juros,Aumento,Diminuação
2024-12-19 15:10:00,"Na Comex, o contrato para março caiu 1,92%, a US$ 4,0770 por libra-peso",Diminuição,Diminuição
2024-11-26 10:00:00,Reação ao IPCA-15,Aumento,Diminuição
2024-12-27 12:55:00,"Saldo formal deve avançar à frente, mas a um ritmo mais moderado; criação líquida de vagas deve atingir 950 mil em 2025, de 1,77 milhão em 2024",Diminuição,Aumento
2024-12-13 10:14:00,"Bradesco BBI reitera recomendação de compra para Eletrobras e Copel, com preços-alvo a R$ 64 e R$ 12,50, respectivamente",Aumento,Aumento
2024-12-26 13:48:00,Padilha: Expectativa é concluir a votação do Orçamento de 2025 até março,Aumento,Aumento
2024-12-13 11:38:00,"Tesouro, em atuação conjunta com o Banco Central, informa que nos leilões dos dias 17 e 19 ofertará lotes de 50 mil títulos para cada um dos vencimentos de NTN-B, LFT, LTN, e NTN-F",Diminuição,Aumento
2024-12-04 16:17:00,_Termina evento do NYT com Jerome Powell_,Aumento,Diminuição
2024-12-11 13:37:00,"Brent/fevereiro sobe 1,18% (US$ 73,04); WTI/Janeiro ganha 1,60% (US$ 69,69)",Diminuição,Aumento
2024-11-28 14:05:00,"MERCADOS: Bolsas europeias se recuperam de perdas recentes, de olho em inflação na Alemanha",Aumento,Diminuição
2024-11-22 16:29:00,"Ministério do Planejamento informa que relatório bimestral deve sair hoje, após 21h",Diminuição,Aumento
2024-11-28 09:08:00,"Brasil/IBGE: IPP da Indústria extrativa sobe 7,84%e outubro, de queda de 5,89% em setembro",Diminuição,Aumento
2024-12-20 10:48:00,"Fed/Williams: Política segue restritiva, não estamos no nível neutro de juros",Aumento,Aumento
2024-11-27 12:19:00,EUA: Indicador de inflação preferido do Fed acelera e apoia abordagem cautelosa,Aumento,Diminuição
2024-11-22 10:15:00,Acompanhe a movimentação das principais ações do Ibovespa:,Aumento,Diminuição
2024-12-13 12:57:00,EMPRESAS: Petrobras cai na contramão do petróleo,Aumento,Aumento
2024-12-19 11:42:00,AOVIVO/Campos Neto nega qualquer relação da atuação do BC com dominância fiscal,Aumento,Aumento
2024-12-30 13:38:00,"Stoxx600 fecha em baixa de 0,47%, aos 504,82 pontos",Diminuição,Diminuição
2024-12-17 16:11:00,China planeja déficit orçamentário de 4% do PIB em 2025,Aumento,Aumento
