Timestamp,Headline,USD/BRL,Forward Return t+1,Forward Return t+2,Forward Return t+3,Forward Return t+4,Forward Return t+5,Forward Return t+6,Forward Return t+7,Forward Return t+8,Forward Return t+9,Forward Return t+10,Forward Return t+11,Forward Return t+12,Forward Return t+13,Forward Return t+14,Forward Return t+15,Forward Return t+16,Forward Return t+17,Forward Return t+18,Forward Return t+19,Forward Return t+20
2024-11-21 14:34:00,"BC: Fluxo cambial total na semana passada (11 a 14/11) foi negativo em US$ 1,989 bi",5.8177,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-11-21 14:34:00,"Fluxo total em novembro, até dia 14, está negativo em US$ 1,421 bi",5.8177,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-11-21 14:35:00,"Itaú BBA mantém recomendação de compra para Direcional, com preço-alvo de R$ 36,00",5.8206,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-11-21 14:35:00,"Banco destaca que desempenho da empresa segue acima do esperado, sem sinais de desaceleração",5.8206,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-11-21 14:36:00,"Fed/Goolsbee: Juros devem se aproximar do nível neutro em 2025, bem abaixo da faixa atual",5.8192,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-11-21 14:36:00,Inflação está retornando à meta de 2% e mercado de trabalho segue estável,5.8192,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-11-21 14:40:00,"BC: Fluxo cambial total na semana passada (11 a 14/11) foi negativo em US$ 1,989 bi",5.8182,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-11-21 14:47:00,Fed/Goolsbee: Estamos nos movendo para cenário de emprego máximo e mercado de trabalho estável,5.8098,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
2024-11-21 14:49:00,Juros futuros batem nas mínimas do dia,5.8097,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2024-11-21 14:55:00,"Taxa Ptax fecha em R$ 5,8173, alta de 0,74%",5.8102,0.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
